breed,age,weight,color,gender,purchase_date
Russian Blue,19,7,Tortoiseshell,Female,2011-8-10
Norwegian Forest,19,9,Tortoiseshell,Female,2024-1-13
Chartreux,3,3,Brown,Female,2012-1-21
Persian,13,6,Sable,Female,2022-4-5
Ragdoll,10,8,Tabby,Male,2020-8-3
Ocicat,9,8,Blue,Female,2010-11-14
Ragdoll,6,5,Calico,Female,2020-6-20
Abyssinian,12,3,Tabby,Male,2014-5-30
Oriental,2,7,White,Male,2023-12-5
Egyptian Mau,12,3,White,Male,2016-4-22
Chartreux,16,4,White,Male,2015-9-25
American Shorthair,13,5,Black,Male,2023-1-27
Bengal,16,6,White,Male,2022-4-19
Cornish Rex,13,6,Pointed,Male,2014-5-21
British Shorthair,19,3,Red,Female,2013-8-14
Burmese,14,5,Pointed,Male,2013-7-21
Burmese,13,3,Pointed,Male,2012-4-7
Russian Blue,10,7,Black,Male,2017-2-27
Singapura,7,3,Blue,Female,2012-1-4
Maine Coon,5,6,Tricolor,Male,2011-7-1
British Shorthair,17,6,Cream,Female,2020-8-17
Abyssinian,9,3,Tabby,Male,2013-9-23
Cornish Rex,6,9,Pointed,Male,2023-12-28
Turkish Angora,16,6,Sable,Female,2015-8-5
Burmese,6,7,Calico,Female,2019-2-4
Himalayan,6,6,Tortoiseshell,Male,2022-11-4
Sphynx,18,4,Cream,Male,2013-12-15
Manx,1,4,Blue,Male,2018-12-17
Siberian,17,2,Calico,Male,2012-12-12
Birman,17,7,Pointed,Female,2021-12-11
Oriental,1,2,Tortoiseshell,Female,2019-2-13
Balinese,11,9,White,Male,2019-11-17
Egyptian Mau,13,3,Pointed,Male,2010-10-18
Devon Rex,1,3,Orange,Male,2017-1-8
Egyptian Mau,8,3,Cream,Male,2010-3-12
Sphynx,6,3,Tortoiseshell,Female,2019-6-3
Norwegian Forest,5,9,Sable,Female,2015-5-1
Norwegian Forest,5,6,Tabby,Male,2016-4-6
Persian,6,2,Sable,Male,2018-10-19
American Shorthair,13,8,Black,Male,2023-4-7
Ragdoll,18,3,Cream,Male,2013-7-16
Burmese,13,4,Blue,Female,2025-7-5
Himalayan,7,9,Tabby,Female,2025-9-18
Egyptian Mau,8,6,White,Male,2015-6-27
Exotic Shorthair,17,2,White,Male,2019-3-29
Egyptian Mau,1,7,Gray,Female,2024-11-2
Egyptian Mau,16,6,White,Male,2024-8-9
Turkish Angora,11,5,Bicolor,Male,2015-10-24
Abyssinian,4,9,Blue,Female,2017-8-8
Persian,4,3,Bicolor,Male,2018-3-11
Maine Coon,17,4,Black,Male,2025-12-16
Oriental,17,7,Red,Female,2012-9-1
Manx,10,9,Tricolor,Female,2013-4-27
Persian,6,2,Blue,Male,2014-5-30
Scottish Fold,17,6,Tricolor,Male,2017-12-7
Balinese,18,2,Orange,Male,2019-6-15
Cornish Rex,10,5,Tabby,Male,2014-11-18
Ragdoll,13,4,Brown,Male,2015-1-3
Savannah,16,7,Gray,Male,2020-7-20
American Shorthair,7,8,Bicolor,Female,2019-4-22
Cornish Rex,15,6,Blue,Male,2025-10-8
Munchkin,2,7,Blue,Male,2019-4-15
Siamese,5,9,Brown,Female,2023-4-18
Persian,17,5,White,Male,2012-4-3
Persian,5,4,Bicolor,Male,2013-6-27
