major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,hours_sleep,minutes_screen,professor_age,expected_grade,calculus_grade,zodiac
Criminal Justice and Criminology ,DSCI 101 - 002,Senior,Cubs,US Northeast,Math,15,5,3,YouTube,Pink,FALSE,300,Hot Dog,7,180,45,B,C,Aries
Economics and Statistics,STAT 203 - 001,Sophomore,None of the above,Illinois,Social studies,70,5,8,YouTube,Blue,FALSE,100,Taco,6,6,45,B,A,Cancer
Biomedical Engineering,STAT 203 - 001,Junior,Blackhawks,US Northeast,Social studies,60,6,2,Snapchat,Green,FALSE,200,Grilled Cheese,8,2,33,A,B,Cancer
Biomedical Engineering,STAT 203 - 001,Junior,Bears,Illinois,Math,0,6,0,YouTube,Black,FALSE,100,Grilled Cheese,7,180,42,A,B,Aries
Environmental Engineering ,STAT 203 - 001,Junior,Bears,Illinois,Math,70 mins,5,2,Instagram,Brown,FALSE,52,Grilled Cheese,8,240,31,A,A,Leo
Engineering - Biomedical Engineering,STAT 203 - 001,Junior,Bears,US Midwest (other than IL),Science,60,5,3,Instagram,Green,FALSE,250,Hot Dog,5,300,35,A,A,Gemini
Computer Science,STAT 203 - 001,Senior,Bears,Illinois,Arts,60,5,3,YouTube,Blue,TRUE,50,Taco,8,120,40,B,C,Capricorn
biomedical engineering,STAT 203 - 001,Junior,None of the above,Illinois,English,49,5,3,Instagram,Black,FALSE,135,Hot Dog,7,5.7,37,A,A,Pisces
Computer science,STAT 203 - 002,Senior,Bears,Outside of the US,Science,120,6,2,TikTok,Blue,FALSE,15-Dec,Hot Dog,8,5,39,B,A,Taurus
Physics,STAT 203 - 001,Junior,Cubs,Illinois,Science,60,5,10,Instagram,Red,FALSE,100,Hot Dog,6 to 8 hours,360,28,A,C,Gemini
Math,STAT 203 - 001,Sophomore,Bears,US Midwest (other than IL),Math,45,5,1,Instagram,Green,FALSE,100,Hot Dog,7.5,480,40,A,A,Libra
Engineering,STAT 203 - 001,Junior,None of the above,Illinois,Math,At the very LEAST 60 minutes,6,0,Instagram,Purple,FALSE,There were at least double digits but I wasn't much of a reader. 30,Grilled Cheese,7,1,37.5 I'm feeling lucky,B,A,Taurus
Biomedical Engineering,STAT 203 - 001,Junior,Blackhawks,US Midwest (other than IL),Math,30,6,2,YouTube,Green,FALSE,30,Grilled Cheese,7,400,37,A,A,Aries
Biomedical Engineering,STAT 203 - 001,Junior,Bears,US West,Science,90 minutes ,5,8,TikTok,Green,FALSE,400,Hot Dog,6,210,38,A,C,Libra
Environmental Engineering,STAT 203 - 001,Junior,Cubs,US South,Math,90,5,3,Instagram,Green,FALSE,100,Hot Dog,7.5,200,31,A,A,Sagittarius
Theoretical Physics and Applied Mathematics / Statistics,STAT 203 - 001,Freshman,None of the above,US Northeast,Math,15,5,10,YouTube,Yellow,TRUE,500,Hot Dog,8.5,360,33,A,A,Cancer
Biomedical Engineering ,STAT 203 - 001,Junior,None of the above,Illinois,Math,60,5,7,TikTok,Green,TRUE,50,Hot Dog,6,4,40,B,A,Capricorn
Psychology & Statistics ,STAT 203 - 001,Junior,None of the above,US South,English,0,5,11,X.com (Twitter),Purple,TRUE,hundreds,Grilled Cheese,4.5,300,31,A,A,Scorpio
Biomedical Engineering,STAT 203 - 001,Sophomore,Cubs,US Midwest (other than IL),Science,45,5,9,LinkedIn,Green,FALSE,250,Taco,8.5,210,33,B,B,Aries
Computer Science,STAT 203 - 001,Junior,Blackhawks,Illinois,English,120,5,10,TikTok,Pink,FALSE,10,Hot Dog,7.5,100,30,A,A,Pisces
Engineering,STAT 203 - 001,Junior,Cubs,US West,Science,20,5,7,TikTok,Purple,TRUE,150,Hot Dog,9.5,240,36,B,B,Gemini
Data Visualization,DSCI 101 - 002,Senior,White Sox,US West,Science,30,6,0,LinkedIn,Blue,FALSE,100+,Grilled Cheese,5,1.5,"No idea, honestly.",A,A,Leo
