major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,professor_age,grade,zodiac
Math,STAT 203 - 002,Sophomore,None of the above,Outside of the US,Math,50,5,6,None of the above,Black,No,51-100,Grilled Cheese,40,A,Pisces
Data Science and Computer Science ,DSCI 101 - 001,Sophomore,None of the above,Outside of the US,Math,30,5,8,WhatsApp,Green,No,20-Nov,Taco,35,A,Virgo
Statistics and Sociology ,STAT 203 - 001,Sophomore,None of the above,US Midwest (other than IL),Arts,30,5,9,TikTok,Green,No,100+,Taco,30,A,Aquarius
Chemistry ,STAT 203 - 001,Freshman,Bears,Illinois,Science,10,5,5,None of the above,Blue,No,21-50,Hot Dog,37,A,Virgo
Biochemistry ,STAT 203 - 001,Freshman,Bears,US Midwest (other than IL),Science,60,5,9,TikTok,Purple,Yes,100+,Taco,39,A,Cancer
Computer Science,STAT 203 - 002,Senior,Blackhawks,Illinois,Science,60,5,8,Instagram,Blue,Yes,21-50,Taco,26,B,Pisces
Computer Science ,STAT 203 - 001,Sophomore,Cubs,Outside of the US,English,70,5,0,TikTok,Blue,No,21-50,Taco,35,B,Virgo
Data Science,STAT 203 - 002,Sophomore,None of the above,Illinois,Science,30,5,7,TikTok,Purple,No,51-100,Grilled Cheese,28,B,Scorpio
Supply Chain and Statistics,STAT 203 - 002,Sophomore,Bears,Outside of the US,Social studies,50,5,0,Instagram,Orange,No,100+,Grilled Cheese,30,A,Libra
Computer Science,STAT 203 - 002,Senior,None of the above,Outside of the US,Math,20,5,8,Instagram,Black,No,20-Nov,Taco,"this is a setup, 34",B,Leo
Computer Science,STAT 203 - 002,Sophomore,Bears,Outside of the US,Math,60,6,1,X.com (Twitter),Blue,No,21-50,Hot Dog,40,B,Aries
Computer Engineering,STAT 203 - 002,Junior,Cubs,US Midwest (other than IL),Math,45,5,5,TikTok,Blue,No,100+,Taco,37,A,Sagittarius
Biomedical Engineering,STAT 203 - 002,Junior,Cubs,US Midwest (other than IL),Science,45,5,9,TikTok,Yellow,No,100+,Hot Dog,36,A,Capricorn
Mathematics and Jazz Studies,STAT 203 - 001,Junior,Bears,US Midwest (other than IL),Math,0,5,8,X.com (Twitter),Yellow,No,100+,Taco,36,A,Virgo
Biochemistry,STAT 203 - 002,Freshman,Blackhawks,Illinois,Science,0,5,5,Instagram,Blue,Yes,21-50,Grilled Cheese,35,B,Gemini
Computer Science,STAT 203 - 002,Freshman,White Sox,Outside of the US,Math,35,5,10,Instagram,Purple,No,51-100,Hot Dog,32,A,Libra
Computer Engineering,STAT 203 - 003,Junior,Bears,US Midwest (other than IL),None of the above,20,6,1,TikTok,Purple,No,51-100,Taco,32,A,Capricorn
Computer Engineering,STAT 203 - 003,Junior,Cubs,Outside of the US,English,60,5,0,TikTok,Blue,No,51-100,Hot Dog,42,A,Gemini
Computer Science,STAT 203 - 003,Junior,White Sox,US West,English,60,6,0,Instagram,Black,No,51-100,Taco,34,A,Gemini
Environmental Engineering,STAT 203 - 003,Junior,Blackhawks,US Midwest (other than IL),Math,30,5,7,TikTok,Green,No,20-Nov,Taco,38,A,Leo
