date,total,age_0_17,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80,female,male
11/27/2023,198,31,22,30,24,30,25,24,12,119,79
6/17/2023,25,2,2,3,3,6,3,6,0,15,10
2/26/2023,176,26,33,31,25,17,16,16,12,105,71
12/23/2021,7146,984,1990,1696,1064,728,430,161,91,3929,3183
3/23/2023,264,69,37,36,28,30,40,15,9,150,114
5/29/2022,536,101,118,97,74,59,44,22,21,299,237
8/4/2020,369,50,105,69,53,39,33,16,4,201,164
10/24/2023,156,23,22,17,20,17,18,18,21,92,64
5/25/2023,82,16,16,14,8,9,8,10,1,37,45
9/26/2022,406,78,59,68,54,52,38,40,17,228,178
3/14/2023,335,85,44,50,39,55,36,16,10,183,152
8/29/2023,191,34,31,18,26,27,21,11,23,120,71
4/12/2023,209,46,30,27,32,28,26,7,13,110,98
6/5/2023,52,12,1,11,5,6,7,6,4,28,24
7/13/2023,45,6,8,13,8,3,3,3,1,25,19
6/11/2022,530,72,102,113,86,68,44,32,13,318,212
12/8/2020,2053,272,456,394,319,301,165,96,50,1056,989
2/19/2023,161,21,25,23,27,28,17,14,6,92,69
9/23/2023,99,11,13,21,11,12,16,10,5,58,41
11/23/2023,96,15,8,17,7,13,10,16,10,64,32
2/23/2023,423,107,66,64,46,41,50,25,24,248,174
2/21/2022,240,40,55,47,32,20,31,9,6,147,93
11/25/2022,437,52,68,77,44,52,71,44,29,244,193
4/20/2020,990,24,158,181,213,193,122,58,41,486,504
12/21/2021,6919,899,2091,1771,972,632,364,118,71,3786,3110
10/19/2023,142,22,18,16,9,19,21,22,15,77,64
8/18/2023,132,15,21,18,18,20,17,13,10,86,46
5/19/2023,91,15,11,12,13,12,13,13,2,62,28
8/28/2023,210,47,30,32,25,33,19,14,10,122,85
11/6/2022,241,32,55,35,29,36,26,20,8,138,103
3/22/2023,236,66,33,34,26,29,23,13,12,134,102
6/27/2022,922,105,198,185,143,121,100,48,22,533,387
10/13/2022,365,72,41,53,50,46,44,34,25,207,158
1/21/2023,203,28,26,38,26,24,30,22,9,110,92
4/21/2023,120,30,10,22,16,12,12,12,6,64,56
7/21/2020,289,24,82,57,55,31,23,8,9,143,145
12/7/2022,745,160,117,137,76,95,74,46,40,422,322
12/8/2022,753,135,100,125,104,93,90,60,46,429,323
9/15/2023,157,20,15,21,12,21,24,26,18,88,68
9/25/2023,136,20,16,16,24,14,14,24,8,85,50
10/31/2023,118,24,30,9,13,15,14,6,7,60,58
11/8/2023,191,30,17,30,33,18,21,21,21,113,78
11/30/2022,685,111,117,122,80,91,78,61,25,402,281
5/14/2022,732,122,132,152,104,99,59,36,27,402,328
2/24/2021,337,38,79,65,53,48,29,12,13,160,177
6/26/2023,31,5,4,5,3,6,2,3,3,21,10
8/19/2021,546,83,134,157,84,39,25,17,7,289,256
10/13/2023,105,14,17,15,12,14,14,9,10,61,44
3/24/2023,259,52,29,45,38,27,27,24,17,146,112
7/16/2023,34,4,9,6,3,1,5,5,1,19,14
11/2/2023,140,28,21,13,15,12,20,14,17,87,53
11/29/2023,3,0,2,0,0,0,0,0,1,1,2
9/26/2023,145,19,19,24,14,22,17,16,14,71,74
5/14/2023,49,5,9,3,6,5,9,5,7,22,27
11/22/2023,167,30,16,25,25,21,26,8,16,92,75
5/10/2022,1711,512,280,342,222,159,105,59,32,978,729
1/19/2023,421,115,55,58,39,45,53,36,20,231,189
10/4/2023,113,19,22,15,15,11,11,9,11,70,43
11/21/2023,171,23,26,27,18,24,21,20,12,111,60
10/30/2023,113,24,13,11,11,18,15,11,10,73,39
12/30/2020,1444,191,369,274,198,200,138,52,22,760,672
5/6/2023,57,6,6,10,9,10,8,4,4,33,24
3/2/2023,438,76,67,57,64,52,53,47,22,243,195
8/13/2021,626,97,173,154,80,58,39,15,10,273,353
