Student,major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,professor_age,grade,zodiac
1,Chemistry BS,STAT 203 - 002,Junior,None of the above,US Northeast,Science,45,5,7,Instagram,White,No,150,Taco,45,B,Aquarius
2,Data Science,STAT 203 - 002,Junior,None of the above,US Midwest (other than IL),Arts,15,5,2,Instagram,Green,Yes,50,Hot Dog,45,A,Gemini
3,Data Science with Environmental Science minor,STAT 203 - 002,Sophomore,Cubs,Illinois,Math,30,5,9,Instagram,Blue,No,60,Taco,35,A,Taurus
4,Chemistry,STAT 203 - 002,Junior,None of the above,Outside of the US,Math,60,5,6,Instagram,White,No,60,Grilled Cheese,30,A,Aries
5,Psychology,STAT 103 - 001,Sophomore,None of the above,Outside of the US,English,0,5,6,None of the above,Black,No,200,Taco,35,A,Capricorn
6,Chemistry,STAT 203 - 002,Junior,Blackhawks,Outside of the US,Science,45,5,2,Instagram,Purple,No,80,Hot Dog,40,A,Sagittarius
7,Nursing ,STAT 103 - 001,Freshman,Cubs,US Northeast,Science,90,4,11,TikTok,Pink,No,12,Taco,35,A,Virgo
8,Computer Science,STAT 203 - 002,Junior,Cubs,Illinois,Math,45,6,0,Instagram,Purple,Yes,50,Taco,30,B,Aries
9,Accounting ,STAT 103 - 001,Freshman,Blackhawks,US South,Science,90,5,1,TikTok,Purple,No,Over 30 ,Taco,29,B,Aquarius
10,Data Science,STAT 203 - 002,Junior,Cubs,US Midwest (other than IL),Science,60,5,1,Instagram,Pink,No,500,Hot Dog,30,A,Gemini
11,Computer Science,STAT 203 - 002,Junior,None of the above,Illinois,Math,30,5,4,Instagram,Blue,No,50,Taco,32,B,Virgo
12,Nursing ,STAT 103 - 003,Freshman,Bears,Illinois,English,180,5,2,TikTok,Yellow,No,50,Taco,45,A,Scorpio
13,Biology,STAT 103 - 001,Freshman,Bears,Illinois,Social studies,60,5,4,Instagram,Pink,No,100+,Hot Dog,42,A,Leo
14,Secondary education with psychology,STAT 103 - 001,Freshman,Cubs,Illinois,Arts,90,5,0,Instagram,Red,No,200,Hot Dog,45,B,Aries
15,Software Engineering ,STAT 103 - 001,Sophomore,Cubs,Illinois,Math,120,5,4,Instagram,Pink,Yes,20,Taco,29,B,Aries
16,Studio Art,STAT 103 - 001,Junior,None of the above,Outside of the US,English,30,5,1,TikTok,Yellow,No,over 80 ,Taco,36,A,Aquarius
17,Marketing ,STAT 103 - 001,Sophomore,None of the above,Illinois,Math,90,5,6,Instagram,Black,Yes,A lot I didn't really know how much I had,Taco,30,B,Aquarius
18,Nursing ,STAT 103 - 001,Freshman,None of the above,Illinois,Math,180,5,2,TikTok,Pink,No,50,Grilled Cheese,29,A,Aquarius
19,Psychology,STAT 103 - 001,Sophomore,None of the above,Illinois,Social studies,30,6,1,TikTok,Purple,No,45,Grilled Cheese,30,A,Scorpio
20,Accounting & Economics ,STAT 103 - 003,Freshman,None of the above,US Midwest (other than IL),Arts,45,5,7,None of the above,Purple,No,2500,Hot Dog,35,A,Leo
21,Psychology,STAT 103 - 001,Freshman,Blackhawks,Illinois,Math,120,5,10,Instagram,Blue,No,150,Hot Dog,26,A,Pisces
22,Nursing,STAT 103 - 003,Freshman,None of the above,US Midwest (other than IL),Math,30,5,4,TikTok,Purple,No,probably 3 ,Taco,31,A,Taurus
23,Psychology ,STAT 103 - 003,Freshman,White Sox,Illinois,Social studies,30,5,5,Instagram,Green,No,100+,Taco,34,B,Taurus
24,Psychology,STAT 103 - 003,Freshman,None of the above,Illinois,Math,30,5,2,TikTok,Pink,No,50,Taco,46,C,Virgo
25,Nursing,STAT 103 - 003,Freshman,Chicago Fire,Illinois,None of the above,60,5,1,TikTok,Red,No,0,Hot Dog,36,A,Aries
26,Marketing,STAT 103 - 003,Freshman,Chicago Sky,US Midwest (other than IL),English,90,5,6,Snapchat,Pink,No,200,Taco,33,B,Gemini
27,Business ,STAT 103 - 003,Freshman,None of the above,Illinois,Social studies,60,5,10,Instagram,Blue,No,1000,Hot Dog,43,A,Cancer
28,Undecided-comp sci,STAT 103 - 003,Freshman,None of the above,Outside of the US,English,120,6,8,Instagram,Green,Yes,30+,Grilled Cheese,32,A,Scorpio
29,Business management ,STAT 103 - 003,Freshman,None of the above,Illinois,Math,60,5,2,TikTok,Pink,Yes,60,Taco,35,A,Sagittarius
30,nursing ,STAT 103 - 003,Freshman,Bears,Illinois,Math,30,5,4,Instagram,Yellow,No,65,Taco,30,A,Pisces
31,Accounting ,STAT 103 - 003,Freshman,Chicago Fire,Illinois,English,75,6,1,Instagram,Red,No,40-60,Taco,30,B,Cancer
32,Psychology ,STAT 103 - 003,Freshman,None of the above,US Midwest (other than IL),English,30,5,3,TikTok,Pink,No,300?(we had a lot we never actually read),Taco,44,A,Sagittarius
33,Nursing ,STAT 103 - 003,Freshman,White Sox,Illinois,English,90,4,11,Instagram,Pink,No,around 100,Taco,30,A,Leo
34,Nursing,STAT 103 - 003,Freshman,None of the above,US West,Science,120,5,0,Instagram,Green,No,10,Taco,30,B,Libra
